,MEDIO_PREDOMINANTE,LATITUD_ORIGEN,LATITUD_DESTINO,LONGITUD_ORIGEN,LONGITUD_DESTINO,DIFERENCIA_HORAS,tiempo_recorrido,distancia_km,velocidad km/h
65,MOTO,4.648399240235,4.6242339707585,-74.06103062517,-74.153137198781,00:45:00,0.75,10.56783488937208,14.090446519162773
66,AUTO,4.6242339707585,4.6835474479228,-74.153137198781,-74.057749217058,01:00:00,1.0,12.474285193356641,12.474285193356641
67,AUTO,4.6835474479228,4.6242339707585,-74.057749217058,-74.153137198781,02:30:00,2.5,12.474285193356641,4.989714077342656
68,Transmilenio,4.6227465499645,4.7003020340384,-74.14933519013,-74.096668648441,01:40:00,1.6666666666666665,10.425068499507878,6.255041099704727
69,Transmilenio,4.7003020340384,4.6227465499645,-74.096668648441,-74.14933519013,01:00:00,1.0,10.425068499507878,10.425068499507878
70,Transmilenio,4.6227465499645,4.664543459547,-74.14933519013,-74.058269876765,00:50:00,0.8333333333333334,11.12390005286247,13.348680063434964
71,Transmilenio,4.664543459547,4.6227465499645,-74.058269876765,-74.14933519013,01:30:00,1.5,11.12390005286247,7.41593336857498
72,Transmilenio,4.6227465499645,4.66591436328,-74.14933519013,-74.0587052719,00:50:00,0.8333333333333334,11.144974773214468,13.37396972785736
73,Transmilenio,4.66591436328,4.6227465499645,-74.0587052719,-74.14933519013,01:30:00,1.5,11.144974773214468,7.429983182142979
74,AUTO,4.6835474479228,4.6850262247,-74.057749217058,-74.0579206275,01:00:00,1.0,0.16571176229773094,0.16571176229773094
75,AUTO,4.6850262247,4.6227465499645,-74.0579206275,-74.14933519013,02:30:00,2.5,12.285757488334207,4.914302995333683
76,AUTO,4.6835474479228,4.6850262247,-74.057749217058,-74.0579206275,01:00:00,1.0,0.16571176229773094,0.16571176229773094
77,AUTO,4.6850262247,4.6227465499645,-74.0579206275,-74.14933519013,02:30:00,2.5,12.285757488334207,4.914302995333683
78,PEATON,4.6591349780955,4.6256955833262,-74.126428263004,-74.147845068833,01:53:00,1.8833333333333333,4.416272931590597,2.3449236804905826
79,PEATON,4.6256955833262,4.6227465499645,-74.147845068833,-74.14933519013,00:30:00,0.5,0.3675710658431155,0.735142131686231
80,AUTO,4.6835474479228,4.6850262247,-74.057749217058,-74.0579206275,01:00:00,1.0,0.16571176229773094,0.16571176229773094
81,AUTO,4.6850262247,4.6227465499645,-74.0579206275,-74.14933519013,02:30:00,2.5,12.285757488334207,4.914302995333683
82,ESPECIAL,4.6333006220023,4.7102423,-74.058610025899,-74.2144199,01:00:00,1.0,19.292591430852184,19.292591430852184
83,ESPECIAL,4.7102423,4.6412984586108,-74.2144199,-74.161914143961,02:20:00,2.3333333333333335,9.63528343777653,4.129407187618513
84,TPC-SITP,4.6412984586108,4.63379469191,-74.161914143961,-74.2017125722,02:42:00,2.7,4.4941531960000765,1.664501183703732
85,TPC-SITP,4.63379469191,4.6412984586108,-74.2017125722,-74.161914143961,01:39:42,1.6616666666666666,4.4941531960000765,2.7046057348044594
86,PEATON,4.6414559645689,4.6443105225303,-74.162442414569,-74.154513678782,00:22:00,0.36666666666666664,0.9353595531454313,2.55098059948754
87,PEATON,4.6443105225303,4.6432598460583,-74.154513678782,-74.160229713987,00:16:00,0.26666666666666666,0.6449127706259495,2.418422889847311
88,Transmilenio,4.629988095047,4.703246779,-74.155415840285,-74.0325323885,01:00:00,1.0,15.886845937960965,15.886845937960965
89,Transmilenio,4.703246779,4.629988095047,-74.0325323885,-74.155415840285,00:43:00,0.7166666666666667,15.886845937960965,22.16769200645716
90,Transmilenio,4.625883824123292,4.6401597894466,-74.1661603763809,-74.06556954644,01:20:00,1.3333333333333333,11.273717455228642,8.455288091421481
91,Transmilenio,4.6401597894466,4.625627170779861,-74.06556954644,-74.16684702188871,01:00:00,1.0,11.353187074017283,11.353187074017283
92,Transmilenio,4.626739334596259,4.6432233724925,-74.16796282083891,-74.064962783218,01:20:00,1.3333333333333333,11.574809371084353,8.681107028313265
93,Transmilenio,4.6432233724925,4.625627170779861,-74.064962783218,-74.16684702188871,01:08:33,1.1425,11.473084193769676,10.042086821680241
94,PEATON,4.6396403963168,4.6273219142957,-74.164786263509,-74.189387892818,01:25:25,1.4236111111111112,3.0547769579314195,2.145794546059143
95,PEATON,4.6273219142957,4.6396403963168,-74.189387892818,-74.164786263509,01:37:00,1.6166666666666667,3.0547769579314195,1.8895527574833522
96,TPC-SITP,4.616697008964,4.62105800772,-74.136118294199,-74.135085864,03:00:00,3.0,0.4987977896291045,0.16626592987636815
97,TPC-SITP,4.62105800772,4.6338948744052,-74.135085864,-74.19364402597,00:50:00,0.8333333333333334,6.652709719536708,7.983251663444049
98,TAXI,4.6008798672897,4.6701543477483,-74.18144064185,-74.055247712583,00:21:00,0.35,15.984970789204333,45.67134511201238
99,TAXI,4.6701543477483,4.6008798672897,-74.055247712583,-74.18144064185,00:45:00,0.75,15.984970789204333,21.313294385605776
100,ALIMENTADOR,4.6008798672897,4.6303180189905,-74.18144064185,-74.167793493297,01:24:00,1.4,3.6099900833497647,2.578564345249832
101,ALIMENTADOR,4.6303180189905,4.6008798672897,-74.167793493297,-74.18144064185,00:11:00,0.18333333333333332,3.6099900833497647,19.690855000089627
102,Transmilenio,4.6008798672897,4.6082012662967,-74.18144064185,-74.07076072462,01:54:00,1.9,12.30809609041434,6.477945310744389
103,Transmilenio,4.6082012662967,4.6008798672897,-74.07076072462,-74.18144064185,01:37:00,1.6166666666666667,12.30809609041434,7.613255313658354
104,Transmilenio,4.622007948261,4.6783719488604,-74.143419242533,-74.074118301809,00:43:00,0.7166666666666667,9.924289883334248,13.847846348838486
105,Transmilenio,4.6783719488604,4.622007948261,-74.074118301809,-74.143419242533,00:30:00,0.5,9.924289883334248,19.848579766668497
106,AUTO,4.622007948261,4.5973975707478,-74.143419242533,-74.075942289389,00:30:00,0.5,7.972693915541246,15.945387831082492
107,AUTO,4.5973975707478,4.622007948261,-74.075942289389,-74.143419242533,01:20:00,1.3333333333333333,7.972693915541246,5.9795204366559345
108,TAXI,4.622007948261,4.60460538065,-74.143419242533,-74.0770809876,01:19:00,1.3166666666666667,7.611482979201061,5.7808731487603
109,Transmilenio,4.60460538065,4.622007948261,-74.0770809876,-74.143419242533,01:57:00,1.95,7.611482979201061,3.903324604718493
110,Transmilenio,4.5965862738869,4.5965905503181,-74.087587610449,-74.087606682081,01:00:00,1.0,0.0021691024251671606,0.0021691024251671606
111,Transmilenio,4.5965905503181,4.6170997374432,-74.087606682081,-74.173588082862,02:00:00,2.0,9.8098665223304,4.9049332611652
112,TPC-SITP,4.6338739697523,4.6340344871,-74.075426361724,-74.0753329442,00:42:00,0.7,0.020657424276468734,0.029510606109241052
113,TPC-SITP,4.6340344871,4.6170997374432,-74.0753329442,-74.173588082862,02:00:00,2.0,11.063890881511405,5.5319454407557025
114,TPC-SITP,4.6173201978439,4.605830597675593,-74.174674489744,-74.21995992560898,01:00:00,1.0,5.185063566105109,5.185063566105109
115,TPC-SITP,4.605830597675593,4.6613996188927,-74.21995992560898,-74.115680022936,00:51:00,0.85,13.120258192583496,15.435597873627643
116,TPC-SITP,4.6613996188927,4.6173201978439,-74.115680022936,-74.174674489744,00:29:00,0.48333333333333334,8.180723005985605,16.925633805487458
117,Transmilenio,4.6173201978439,4.63583821538,-74.174674489744,-74.06524738,00:40:00,0.6666666666666666,12.315443950023925,18.47316592503589
118,Transmilenio,4.63583821538,4.6173201978439,-74.06524738,-74.174674489744,01:36:00,1.6,12.315443950023925,7.697152468764952
119,TPC-SITP,4.6340265211977,4.5816003652021,-74.193421324999,-74.108096646295,01:39:00,1.65,11.121837985183092,6.740507869807935
120,TPC-SITP,4.5816003652021,4.6340265211977,-74.108096646295,-74.193421324999,01:04:01,1.0669444444444445,11.121837985183092,10.424008525555617
121,Transmilenio,4.6369270679,4.60460538065,-74.1943850841,-74.0770809876,02:30:00,2.5,13.503965395171976,5.40158615806879
122,Transmilenio,4.60460538065,4.6340265211977,-74.0770809876,-74.193421324999,00:50:00,0.8333333333333334,13.317890168463746,15.981468202156496
123,Transmilenio,4.6369270679,4.53349000638,-74.1943850841,-74.109344502,02:30:00,2.5,14.887271454204452,5.954908581681781
124,Transmilenio,4.53349000638,4.6340265211977,-74.109344502,-74.193421324999,01:50:00,1.8333333333333335,14.570270299359859,7.947420163287195
125,TAXI,4.6245872475775,4.6009351220205,-74.147058335682,-74.156097516708,00:15:00,0.25,2.8175114902620146,11.270045961048059
126,TAXI,4.6009351220205,4.6245872475775,-74.156097516708,-74.147058335682,00:45:00,0.75,2.8175114902620146,3.7566819870160195
127,TPC-SITP,4.6536793584261,4.6534907796599,-74.142610714082,-74.142606398302,00:30:00,0.5,0.020997979191508136,0.04199595838301627
128,TPC-SITP,4.6534907796599,4.6251328215879,-74.142606398302,-74.146723825922,00:40:00,0.6666666666666666,3.189683481576934,4.784525222365401
129,Transmilenio,4.6279828354,4.60610568458,-74.1534805858,-74.0807023502,00:40:00,0.6666666666666666,8.434591773574962,12.651887660362442
130,Transmilenio,4.60610568458,4.6252277025522,-74.0807023502,-74.146635909753,01:19:00,1.3166666666666667,7.619285581606188,5.786799175903433
131,TPC-SITP,4.6252277025522,4.6436991171573,-74.146635909753,-74.139285304549,00:10:00,0.16666666666666666,2.2120748808809942,13.272449285285965
132,TPC-SITP,4.6436991171573,4.6252277025522,-74.139285304549,-74.146635909753,00:30:00,0.5,2.2120748808809942,4.4241497617619885
133,Transmilenio,4.6252277025522,4.6303225941173,-74.146635909753,-74.060464106589,01:01:00,1.0166666666666666,9.578146960131122,9.421128157506022
134,Transmilenio,4.6303225941173,4.6252277025522,-74.060464106589,-74.146635909753,00:29:00,0.48333333333333334,9.578146960131122,19.81685577958163
135,Transmilenio,4.6279828354,4.71432633571,-74.1534805858,-74.1094860711,01:00:00,1.0,10.780132749863462,10.780132749863462
136,ALIMENTADOR,4.71432633571,4.6252277025522,-74.1094860711,-74.146635909753,00:51:00,0.85,10.740774920676518,12.636205789031198
137,TPC-SITP,4.6342982753141,4.6857728394185,-74.192958782572,-74.097635987688,01:17:00,1.2833333333333332,12.028749551434757,9.37305159852059
138,TPC-SITP,4.6857728394185,4.6342982753141,-74.097635987688,-74.192958782572,01:42:00,1.7,12.028749551434757,7.075735030255739
139,TPC-SITP,4.6342982753141,4.6341580860495,-74.192958782572,-74.15976819161,01:30:00,1.5,3.6827184248514744,2.4551456165676497
140,ILEGAL,4.6341580860495,4.6348659068769,-74.15976819161,-74.192009174362,01:30:00,1.5,3.5781871365544773,2.3854580910363183
141,Transmilenio,4.6366914539925,4.6324073600498,-74.194825925438,-74.1272759299,02:01:00,2.0166666666666666,7.510211004088112,3.724071572275097
142,Transmilenio,4.6324073600498,4.6366914539925,-74.1272759299,-74.194825925438,00:40:01,0.6669444444444445,7.510211004088112,11.260624579224158
143,Transmilenio,4.6222957854321,4.6368210300759,-74.18809938663,-74.092168488642,01:45:00,1.75,10.766264459287612,6.152151119592921
144,Transmilenio,4.6368210300759,4.6366914539925,-74.092168488642,-74.194825925438,01:45:45,1.7625,11.390396461078316,6.462636289973513
145,Transmilenio,4.60246080246,4.61461717422,-74.1368727748,-74.1314898332,02:01:00,2.0166666666666666,1.4791961033904797,0.7334856711027172
146,Transmilenio,4.61461717422,4.6366914539925,-74.1314898332,-74.194825925438,00:40:01,0.6669444444444445,7.444816203840138,11.162573233579549
147,Transmilenio,4.60246080246,4.63811752517,-74.1368727748,-74.0779415344,01:45:00,1.75,7.649334400632265,4.371048228932723
148,Transmilenio,4.63811752517,4.6366914539925,-74.0779415344,-74.194825925438,01:45:45,1.7625,12.969903059334953,7.3588102464311795
151,"BICICLETA, BICICLETA CON MOTOR",4.6114016803246,4.6146058679706,-74.162804916297,-74.174708316814,00:40:00,0.6666666666666666,1.3681054694661625,2.052158204199244
152,"BICICLETA, BICICLETA CON MOTOR",4.6146058679706,4.6114016803246,-74.174708316814,-74.162804916297,02:00:00,2.0,1.3681054694661625,0.6840527347330813
153,TAXI,4.6114016803246,4.7046654761394,-74.162804916297,-74.042804908161,02:00:00,2.0,16.883620811200384,8.441810405600192
154,TAXI,4.7046654761394,4.6114016803246,-74.042804908161,-74.162804916297,02:00:00,2.0,16.883620811200384,8.441810405600192
155,TPC-SITP,4.6114016803246,4.5922862690091,-74.162804916297,-74.121699380731,01:27:00,1.45,5.033060252446382,3.4710760361699187
156,TPC-SITP,4.5922862690091,4.6114016803246,-74.121699380731,-74.162804916297,01:50:00,1.8333333333333335,5.033060252446382,2.745305592243481
157,TPC-SITP,4.6113524321759,4.65055920118,-74.162924525118,-74.0616046659,01:00:00,1.0,12.059552461133174,12.059552461133174
158,TPC-SITP,4.65055920118,4.6097244071095,-74.0616046659,-74.170467579651,00:40:00,0.6666666666666666,12.90606444602614,19.35909666903921
159,TPC-SITP,4.6082840448491,4.6743847246883,-74.172563257562,-74.087790954622,02:00:00,2.0,11.942157137091774,5.971078568545887
160,TPC-SITP,4.6743847246883,4.6082840448491,-74.087790954622,-74.172563257562,02:50:00,2.8333333333333335,11.942157137091774,4.214878989561803
161,AUTO,4.6171237415664,4.6835635649,-74.173603896033,-74.0545391896,01:15:00,1.25,15.140071227271823,12.112056981817458
