"","V1","MEDIO_PREDOMINANTE","LATITUD_ORIGEN","LATITUD_DESTINO","LONGITUD_ORIGEN","LONGITUD_DESTINO","DIFERENCIA_HORAS","tiempo_recorrido","distancia_km","velocidad km/h","RGB"
"865",126614,"AUTO",4.9191986,5.0252154,-74.0257644,-74.0011074,"00:20:00",0.333333333333333,12.1144005170963,36.3432015512888,"#FFFF5E"
"866",126671,"INTERMUNICIPAL",4.8648572,5.0252154,-74.047458,-74.0011074,"00:50:00",0.833333333333333,18.5764299597631,22.2917159517158,"#FFFF39"
"867",126703,"AUTO",4.8648572,5.0252154,-74.047458,-74.0011074,"01:30:00",1.5,18.5764299597631,12.3842866398421,"#FFFF20"
"868",126720,"ESPECIAL",4.9647668,5.0252154,-73.9121163,-74.0011074,"01:00:00",1,11.9446594550428,11.9446594550428,"#FFFF1F"
"869",126743,"INTERMUNICIPAL",4.7310807,5.0252154,-74.3409265,-74.0011074,"02:40:00",2.66666666666667,49.9274358204428,18.722788432666,"#FFFF30"
"870",126789,"AUTO",4.9084118,5.0252154,-73.9416075,-74.0011074,"01:00:00",1,14.5810787377825,14.5810787377825,"#FFFF25"
"871",126799,"MOTO",4.9647668,5.0252154,-73.9121163,-74.0011074,"01:00:00",1,11.9446594550428,11.9446594550428,"#FFFF1F"
"872",126805,"INTERMUNICIPAL",4.7335737,5.0252154,-74.2643772,-74.0011074,"01:27:00",1.45,43.665719724922,30.1142894654634,"#FFFF4E"
"873",126959,"TPC-SITP",4.9956821,5.0252154,-73.8733368,-74.0011074,"01:00:00",1,14.5454400790223,14.5454400790223,"#FFFF25"
"874",126997,"ESPECIAL",4.8648572,5.0252154,-74.047458,-74.0011074,"00:19:00",0.316666666666667,18.5764299597631,58.662410399252,"#FFFF98"
"875",127061,"ESPECIAL",4.9647668,5.0252154,-73.9121163,-74.0011074,"00:45:00",0.75,11.9446594550428,15.9262126067237,"#FFFF29"
"876",127063,"Transmilenio",4.6621158877487,5.0252154,-74.057843597758,-74.0011074,"02:03:00",2.05,40.9070925905806,19.9546793124783,"#FFFF33"
"877",127065,"INTERMUNICIPAL",4.9647668,5.0252154,-73.9121163,-74.0011074,"00:30:00",0.5,11.9446594550428,23.8893189100856,"#FFFF3E"
"878",127067,"INTERMUNICIPAL",4.9647668,5.0252154,-73.9121163,-74.0011074,"00:30:00",0.5,11.9446594550428,23.8893189100856,"#FFFF3E"
"879",127069,"INTERMUNICIPAL",4.9647668,5.0252154,-73.9121163,-74.0011074,"00:30:00",0.5,11.9446594550428,23.8893189100856,"#FFFF3E"
"880",127073,"INTERMUNICIPAL",4.9647668,5.0252154,-73.9121163,-74.0011074,"00:30:00",0.5,11.9446594550428,23.8893189100856,"#FFFF3E"
"881",127075,"INTERMUNICIPAL",4.9647668,5.0252154,-73.9121163,-74.0011074,"00:30:00",0.5,11.9446594550428,23.8893189100856,"#FFFF3E"
"882",127089,"Transmilenio",4.6214381966756,5.0252154,-74.066995225528,-74.0011074,"02:17:00",2.28333333333333,45.5386450724847,19.9439321485335,"#FFFF33"
"883",127095,"Transmilenio",4.6063787858303,5.0252154,-74.076590603395,-74.0011074,"02:22:00",2.36666666666667,47.3706086944206,20.0157501525721,"#FFFF34"
"884",127099,"Transmilenio",4.9191986,5.0252154,-74.0257644,-74.0011074,"01:36:00",1.6,12.1144005170963,7.57150032318517,"#FFFF13"
"885",127115,"INTERMUNICIPAL",4.7967295803025,5.0252154,-74.038500436553,-74.0011074,"02:00:00",2,25.7708574553463,12.8854287276732,"#FFFF21"
"886",127174,"INTERMUNICIPAL",4.9191986,5.0252154,-74.0257644,-74.0011074,"01:00:00",1,12.1144005170963,12.1144005170963,"#FFFF1F"
"887",127180,"Transmilenio",4.708023074001,5.0252154,-74.053255424083,-74.0011074,"02:00:00",2,35.780354293775,17.8901771468875,"#FFFF2E"
"888",127194,"ESPECIAL",4.8648572,5.0252154,-74.047458,-74.0011074,"00:30:00",0.5,18.5764299597631,37.1528599195263,"#FFFF60"
"889",127196,"ESPECIAL",4.8648572,5.0252154,-74.047458,-74.0011074,"00:30:00",0.5,18.5764299597631,37.1528599195263,"#FFFF60"
"890",127198,"Transmilenio",4.6025895936753,5.0252154,-74.076629978374,-74.0011074,"02:23:00",2.38333333333333,47.7866062579797,20.0503243040474,"#FFFF34"
"891",127207,"Transmilenio",4.6998608113825,5.0252154,-74.097147617734,-74.0011074,"02:53:00",2.88333333333333,37.7524623355999,13.0933395383583,"#FFFF22"
"892",127209,"Transmilenio",4.630349,5.0252154,-74.138929,-74.0011074,"02:20:00",2.33333333333333,46.5390150528872,19.9452921655231,"#FFFF33"
"893",127215,"ESPECIAL",4.9084118,5.0252154,-73.9416075,-74.0011074,"01:00:00",1,14.5810787377825,14.5810787377825,"#FFFF25"
"894",127235,"Transmilenio",4.8648572,5.0252154,-74.047458,-74.0011074,"01:00:00",1,18.5764299597631,18.5764299597631,"#FFFF30"
"895",127617,"TPC-SITP",4.7544677212808,5.0252154,-74.046753944443,-74.0011074,"02:00:00",2,30.5618044082499,15.280902204125,"#FFFF27"
"896",127631,"Transmilenio",4.6345849995698,5.0252154,-74.079512515607,-74.0011074,"02:13:00",2.21666666666667,44.3460114184284,20.005719436885,"#FFFF34"
"897",127635,"INTERMUNICIPAL",4.8648572,5.0252154,-74.047458,-74.0011074,"01:30:00",1.5,18.5764299597631,12.3842866398421,"#FFFF20"
"898",127687,"INTERMUNICIPAL",4.9647668,5.0252154,-73.9121163,-74.0011074,"01:00:00",1,11.9446594550428,11.9446594550428,"#FFFF1F"
"899",127699,"MOTO",4.745986327314,5.0252154,-74.047205140994,-74.0011074,"01:00:00",1,31.5013821866673,31.5013821866673,"#FFFF51"
"900",127701,"ESPECIAL",4.9647668,5.0252154,-73.9121163,-74.0011074,"01:00:00",1,11.9446594550428,11.9446594550428,"#FFFF1F"
"901",127717,"PEATON",4.59575933877,5.0252154,-74.0766955817,-74.0011074,"10:42:00",10.7,48.5366193215285,4.53613264687182,"#FFFF0B"
"902",127719,"ESPECIAL",4.9084118,5.0252154,-73.9416075,-74.0011074,"00:19:00",0.316666666666667,14.5810787377825,46.0455118035237,"#FFFF77"
"903",127723,"PEATON",4.6051505764827,5.0252154,-74.078574208535,-74.0011074,"10:31:00",10.5166666666667,47.5444629621036,4.52086811050113,"#FFFF0B"
"904",127748,"AUTO",4.9956821,5.0252154,-73.8733368,-74.0011074,"02:00:00",2,14.5454400790223,7.27272003951115,"#FFFF12"
"905",127751,"AUTO",4.9956821,5.0252154,-73.8733368,-74.0011074,"02:00:00",2,14.5454400790223,7.27272003951115,"#FFFF12"
"906",127779,"TPC-SITP",4.8648572,5.0252154,-74.047458,-74.0011074,"01:06:00",1.1,18.5764299597631,16.8876635997847,"#FFFF2B"
"907",127789,"PEATON",4.59575933877,5.0252154,-74.0766955817,-74.0011074,"10:42:00",10.7,48.5366193215285,4.53613264687182,"#FFFF0B"
"908",127963,"INTERMUNICIPAL",4.9191986,5.0252154,-74.0257644,-74.0011074,"01:30:00",1.5,12.1144005170963,8.07626701139751,"#FFFF15"
"909",128012,"TPC-SITP",4.6983805662446,5.0252154,-74.029934779516,-74.0011074,"02:30:00",2.5,36.5233676346393,14.6093470538557,"#FFFF26"
"910",128026,"AUTO",4.9191986,5.0252154,-74.0257644,-74.0011074,"00:16:00",0.266666666666667,12.1144005170963,45.429001939111,"#FFFF76"
"911",128034,"TPC-SITP",4.9647668,5.0252154,-73.9121163,-74.0011074,"01:30:00",1.5,11.9446594550428,7.96310630336186,"#FFFF14"
"912",128044,"Transmilenio",4.6859422224496,5.0252154,-74.052163044515,-74.0011074,"02:55:00",2.91666666666667,38.1899809360481,13.0937077495022,"#FFFF22"
"913",128048,"INTERMUNICIPAL",4.7786877450895,5.0252154,-74.042118517309,-74.0011074,"01:30:00",1.5,27.8177739429304,18.5451826286203,"#FFFF30"
"914",128068,"INTERMUNICIPAL",4.8648572,5.0252154,-74.047458,-74.0011074,"01:00:00",1,18.5764299597631,18.5764299597631,"#FFFF30"
"915",128074,"INTERMUNICIPAL",4.9956821,5.0252154,-73.8733368,-74.0011074,"00:30:00",0.5,14.5454400790223,29.0908801580446,"#FFFF4B"
"916",128080,"Transmilenio",4.6591760374519,5.0252154,-74.062032400959,-74.0011074,"02:04:00",2.06666666666667,41.3039648747492,19.9857894555238,"#FFFF33"
"917",128083,"INTERMUNICIPAL",4.9191986,5.0252154,-74.0257644,-74.0011074,"00:45:00",0.75,12.1144005170963,16.152534022795,"#FFFF2A"
"918",128091,"ESPECIAL",4.9647668,5.0252154,-73.9121163,-74.0011074,"00:45:00",0.75,11.9446594550428,15.9262126067237,"#FFFF29"
"919",128097,"INTERMUNICIPAL",4.9647668,5.0252154,-73.9121163,-74.0011074,"00:30:00",0.5,11.9446594550428,23.8893189100856,"#FFFF3E"
"920",128132,"TPC-SITP",4.9647668,5.0252154,-73.9121163,-74.0011074,"01:00:00",1,11.9446594550428,11.9446594550428,"#FFFF1F"
"921",128222,"AUTO",4.8648572,5.0252154,-74.047458,-74.0011074,"00:30:00",0.5,18.5764299597631,37.1528599195263,"#FFFF60"
"922",128233,"ESPECIAL",4.8648572,5.0252154,-74.047458,-74.0011074,"00:30:00",0.5,18.5764299597631,37.1528599195263,"#FFFF60"
"923",128237,"INTERMUNICIPAL",4.9191986,5.0252154,-74.0257644,-74.0011074,"01:00:00",1,12.1144005170963,12.1144005170963,"#FFFF1F"
"924",128410,"AUTO",4.9191986,5.0252154,-74.0257644,-74.0011074,"00:20:00",0.333333333333333,12.1144005170963,36.3432015512888,"#FFFF5E"
"925",128415,"AUTO",4.9191986,5.0252154,-74.0257644,-74.0011074,"00:20:00",0.333333333333333,12.1144005170963,36.3432015512888,"#FFFF5E"
"926",128425,"ESPECIAL",4.9647668,5.0252154,-73.9121163,-74.0011074,"01:00:00",1,11.9446594550428,11.9446594550428,"#FFFF1F"
"927",128431,"ESPECIAL",4.9956821,5.0252154,-73.8733368,-74.0011074,"02:00:00",2,14.5454400790223,7.27272003951115,"#FFFF12"
"928",128433,"ESPECIAL",4.9084118,5.0252154,-73.9416075,-74.0011074,"01:00:00",1,14.5810787377825,14.5810787377825,"#FFFF25"
"929",128435,"ESPECIAL",4.9084118,5.0252154,-73.9416075,-74.0011074,"01:00:00",1,14.5810787377825,14.5810787377825,"#FFFF25"
"930",128437,"ESPECIAL",4.9084118,5.0252154,-73.9416075,-74.0011074,"01:00:00",1,14.5810787377825,14.5810787377825,"#FFFF25"
"931",128443,"Transmilenio",4.63489738597,5.0252154,-74.0718818147,-74.0011074,"02:13:00",2.21666666666667,44.1535863844289,19.9189111508702,"#FFFF33"
